ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 14,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 20
สมิติเวชไชน่าทาวน์ : BDMS,None,BDMS,Private,31,6190,6,85,0.11976047904191617,0.8802395209580839,167,4130.099,2150.0,0.0,8624.216250000001,1694.2283333333335,6641.456,27957.102857142854,0.0,5411.697692307692,2886.764090909091
สมิติเวชธนบุรี : BDMS,None,BDMS,Private,150,6190,8,256,0.041762013729977114,0.9582379862700229,1748,12861.80992248062,1499.495813953488,1595.9555555555555,1943.602222222222,2911.833758542142,4404.8256643356635,3216.893059701493,0.0,2455.9379787234043,3943.142164179104
สมิติเวชศรีนครินทร์ : BDMS,Top,BDMS,Private,154,7255,9,8,0.06523605150214593,0.9353361945636623,3495,11701.333520000004,3370.1035869565208,1831.252,2562.228552631579,3732.3847441860485,10789.197964912277,9130.227538461537,1911.2,4366.662129032259,11653.35553846154
สมิติเวชสุขุมวิท : BDMS,Top,BDMS,Private,275,9000,7,571,0.06955128205128205,0.9307692307692308,3120,17052.59606936416,5063.0,10079.626,2166.8509302325583,4596.938156028367,10367.587918367346,13751.301013513515,23236.3825,4205.695805084745,22025.785028248592
สวนเบญจกิตติ เฉลิมพระเกียรติ 84 พรรษา,None,None,Public,60,1400,7,45,0.09243697478991597,0.907563025210084,119,6860.0,10561.538461538461,350.0,7196.451142857143,992.6363636363636,18057.14285714286,0.0,0.0,0.0,0.0
สหวิทยาการมะลิ,None,None,Private,19,4800,6,10,0.03333333333333333,0.9666666666666667,30,0.0,0.0,0.0,1433.5,523.8333333333334,0.0,0.0,0.0,0.0,3407.5
สินแพทย์  ศรีนครินทร์,None,VIBHA,Private,110,2800,9,21,0.1260827718960539,0.8739172281039461,3117,10554.622680851064,2492.3333333333335,9339.058823529413,5328.988636363636,5141.067320574162,7366.793427230047,6053.016666666666,1766.5,7192.850393700787,3267.088433179724
สินแพทย์ เสรีรักษ์,None,VIBHA,Private,238,4050,9,231,0.1247870528109029,0.8752129471890971,4696,11027.24635568513,2250.082424242424,5139.671,2483.281012658228,4926.335681669928,9769.809667590027,11424.81226993865,0.0,4339.831132075471,3385.6041942604857
สินแพทย์ รามอินทรา,None,VIBHA,Private,287,3100,9,258,0.11894273127753303,0.8810572687224669,227,18138.5,2710.0,24844.0,1738.5714285714287,2444.08,7665.1875,1337.857142857143,0.0,3943.7272727272725,3394.55
สิรินาถบึงกุ่ม (วิภาราม นวมินทร์),None,VIBHA,Private,52,3440,4,5,0.0847457627118644,0.9152542372881356,354,10131.142857142857,2749.8214285714284,4626.416666666667,0.0,1617.3610714285714,8036.852459016393,6796.428571428572,0.0,3861.08,7617.176470588235
สุขสวัสดิ์,None,None,Private,100,4200,8,49,0.16666666666666666,0.8333333333333334,30,0.0,0.0,0.0,6318.733333333334,1145.0,15365.525,0.0,0.0,8160.0,5084.706666666666
สุขุมวิท,None,RAM,Private,135,2760,8,46,0.06619718309859154,0.9342723004694836,2130,5739.838323353293,2174.936170212766,2587.4,10634.763513513513,3440.684297520661,5016.565891472868,8246.753086419752,0.0,3905.2100840336134,4210.091503267974
หัวเฉียว,None,None,Private,338,3300,6,391,0.03787506148548942,0.9621249385145105,4066,2156.8662361623615,2891.639022222222,1422.9166666666667,3998.001028806584,1626.0593914473684,4083.3798449612405,3220.538990825688,0.0,1852.0086486486484,3728.023111111111
อินทรารัตน์,None,None,Private,152,3800,8,21,0.04065040650406504,0.959349593495935,123,0.0,0.0,0.0,5358.234848484848,1100.0,0.0,0.0,0.0,0.0,1580.25
